"","","","","","","","","","","","Satisfaccion con su trabajo","","","Como describiria las relaciones en su lugar de trabajo","","Total de años trabajados","","","","",""
"25","No","Rara Vez Viaja","Investigación y Desarrollo","1","3","Ciencias de la Vida","350","1","Femenino"," Director de Manufactura","3","Casado","12","4","80","5","4","3","2","1","2"
"42","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Medicina","351","4","Femenino","Técnico de laboratorio","1","Divorciado","11","3","80","10","9","4","6","7","8"
"40","No","Rara Vez Viaja","Investigación y Desarrollo","2","2","Medicina","352","1","Masculino","Director de Investigación","3","Divorciado","19","4","80","22","21","5","7","3","9"
"51","No","Rara Vez Viaja","Investigación y Desarrollo","1","3","Ciencias de la Vida","353","3","Masculino"," Investigador Científico","4","Casado","11","2","80","1","1","0","0","0","0"
"31","Sí","Viaja Frecuentemente","Investigación y Desarrollo","29","2","Medicina","355","3","Masculino","Técnico de laboratorio","2","Soltero","11","2","80","6","5","2","4","1","4"
"32","No","Viaja Frecuentemente","Investigación y Desarrollo","7","3","Ciencias de la Vida","359","2","Masculino","Técnico de laboratorio","2","Casado","20","3","80","5","5","3","1","0","3"
"38","No","No Viaja","Ventas","2","2","Ciencias de la Vida","361","4","Masculino"," Ejecutivo de Ventas","4","Casado","18","4","80","13","8","0","7","7","5"
"32","No","Rara Vez Viaja","Investigación y Desarrollo","2","1","Técnico","362","4","Masculino","Técnico de laboratorio","1","Soltero","13","4","80","9","6","5","2","0","4"
"46","No","Rara Vez Viaja","Ventas","2","3","Técnico","363","3","Femenino","Gerente","2","Casado","12","2","80","28","7","2","7","7","7"
"28","Sí","Rara Vez Viaja","Investigación y Desarrollo","2","4","Ciencias de la Vida","364","1","Masculino","Técnico de laboratorio","3","Soltero","11","3","80","5","0","5","0","0","0"
"29","No","Rara Vez Viaja","Ventas","2","3","Medicina","366","1","Masculino"," Ejecutivo de Ventas","2","Casado","19","2","80","10","0","2","0","0","0"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","23","3","Medicina","367","2","Masculino","Representante de Salud","4","Casado","21","2","80","10","9","2","0","7","8"
"25","No","No Viaja","Investigación y Desarrollo","5","2","Ciencias de la Vida","369","2","Masculino","Representante de Salud","1","Divorciado","12","4","80","6","6","2","3","1","5"
"45","No","Rara Vez Viaja","Investigación y Desarrollo","20","2","Medicina","372","3","Masculino","Representante de Salud","4","Casado","14","2","80","21","20","2","7","4","10"
"36","No","Rara Vez Viaja","Investigación y Desarrollo","6","3","Ciencias de la Vida","373","4","Masculino","Técnico de laboratorio","4","Casado","11","3","80","16","15","4","13","10","11"
"55","No","Rara Vez Viaja","Investigación y Desarrollo","1","3","Medicina","374","4","Masculino","Gerente","1","Soltero","14","3","80","37","36","2","10","4","13"
"47","Sí","No Viaja","Investigación y Desarrollo","29","4","Ciencias de la Vida","376","1","Masculino","Gerente","2","Casado","12","4","80","10","10","2","7","9","9"
"28","No","Rara Vez Viaja","Investigación y Desarrollo","9","3","Medicina","377","4","Masculino"," Investigador Científico","4","Casado","23","4","80","5","5","3","2","0","4"
"37","No","Rara Vez Viaja","Ventas","6","4","Medicina","378","3","Masculino"," Ejecutivo de Ventas","4","Casado","14","2","80","7","5","5","4","0","1"
"21","No","Rara Vez Viaja","Investigación y Desarrollo","3","2","Medicina","379","4","Masculino"," Investigador Científico","3","Soltero","17","1","80","3","3","4","2","1","0"
"37","No","No Viaja","Investigación y Desarrollo","1","4","Medicina","380","1","Femenino","Director de Investigación","4","Divorciado","18","1","80","15","5","2","2","0","2"
"35","No","Rara Vez Viaja","Investigación y Desarrollo","22","3","Ciencias de la Vida","381","2","Femenino","Gerente","2","Divorciado","18","2","80","10","7","6","7","6","2"
"38","No","Rara Vez Viaja","Ventas","7","2","Medicina","382","1","Femenino"," Ejecutivo de Ventas","1","Divorciado","24","3","80","8","8","3","0","7","7"
"26","No","Viaja Frecuentemente","Investigación y Desarrollo","1","3","Ciencias de la Vida","384","3","Femenino"," Director de Manufactura","2","Divorciado","20","1","80","6","6","6","5","1","4"
"50","No","Rara Vez Viaja","Investigación y Desarrollo","4","1","Ciencias de la Vida","385","1","Masculino","Director de Investigación","2","Divorciado","14","1","80","28","10","4","4","1","6"
"53","No","Rara Vez Viaja","Investigación y Desarrollo","3","4","Medicina","386","3","Masculino","Director de Investigación","3","Casado","16","4","80","21","5","5","3","1","3"
"42","No","Rara Vez Viaja","Ventas","1","1","Ciencias de la Vida","387","2","Masculino"," Ejecutivo de Ventas","3","Casado","25","3","80","20","20","3","16","11","6"
"29","No","Viaja Frecuentemente","Ventas","2","2","Ciencias de la Vida","388","2","Masculino"," Ejecutivo de Ventas","4","Soltero","18","1","80","10","10","3","7","0","9"
"55","No","Rara Vez Viaja","Investigación y Desarrollo","20","2","Técnico","389","2","Masculino","Técnico de laboratorio","4","Casado","19","4","80","12","10","4","7","0","8"
"26","No","Viaja Frecuentemente","Investigación y Desarrollo","11","2","Medicina","390","1","Masculino","Representante de Salud","1","Casado","13","3","80","5","5","3","3","3","3"
"37","No","Rara Vez Viaja","Investigación y Desarrollo","1","3","Ciencias de la Vida","391","4","Femenino"," Investigador Científico","4","Soltero","12","2","80","17","17","3","12","5","7"
"44","Sí","Viaja Frecuentemente","Investigación y Desarrollo","24","3","Ciencias de la Vida","392","4","Masculino","Técnico de laboratorio","3","Divorciado","22","4","80","19","1","0","0","0","0"
"38","No","Rara Vez Viaja","Investigación y Desarrollo","23","4","Ciencias de la Vida","393","4","Masculino","Representante de Salud","4","Divorciado","14","2","80","10","2","2","2","1","2"
"26","Sí","Rara Vez Viaja","Investigación y Desarrollo","16","4","Medicina","394","1","Masculino","Técnico de laboratorio","2","Divorciado","13","4","80","5","3","2","2","0","2"
"28","No","Rara Vez Viaja","Investigación y Desarrollo","8","2","Ciencias de la Vida","395","4","Femenino"," Investigador Científico","4","Soltero","21","4","80","5","5","3","3","0","2"
"49","No","Viaja Frecuentemente","Investigación y Desarrollo","10","4","Ciencias de la Vida","396","3","Femenino","Director de Investigación","1","Soltero","11","4","80","22","3","4","2","1","2"
"36","No","Rara Vez Viaja","Investigación y Desarrollo","3","3","Técnico","397","3","Masculino"," Investigador Científico","2","Soltero","12","4","80","10","8","2","0","7","7"
"31","No","Viaja Frecuentemente","Ventas","5","3","Marketing","399","4","Femenino","Ventas Representative","2","Divorciado","11","3","80","2","2","5","2","2","2"
"26","Sí","Rara Vez Viaja","Ventas","4","4","Marketing","401","4","Masculino"," Ejecutivo de Ventas","4","Soltero","12","2","80","8","8","0","7","7","4"
"37","No","Viaja Frecuentemente","Investigación y Desarrollo","9","3","Medicina","403","2","Masculino"," Investigador Científico","4","Casado","12","3","80","4","4","3","2","1","2"
"42","No","Viaja Frecuentemente","Ventas","26","3","Marketing","404","3","Femenino"," Ejecutivo de Ventas","2","Casado","14","4","80","23","20","2","4","4","8"
"18","Sí","Rara Vez Viaja","Investigación y Desarrollo","3","3","Ciencias de la Vida","405","3","Masculino","Técnico de laboratorio","3","Soltero","13","3","80","0","0","2","0","0","0"
"35","No","Rara Vez Viaja","Ventas","16","3","Marketing","406","3","Masculino"," Ejecutivo de Ventas","2","Casado","15","3","80","12","11","3","9","6","9"
"36","No","Viaja Frecuentemente","Investigación y Desarrollo","18","4","Ciencias de la Vida","407","3","Masculino","Técnico de laboratorio","4","Casado","18","4","80","4","1","2","0","0","0"
"51","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Medicina","408","4","Masculino"," Director de Manufactura","2","Divorciado","18","4","80","13","4","3","1","1","2"
"41","No","Rara Vez Viaja","Ventas","2","4","Ciencias de la Vida","410","4","Masculino","Gerente","2","Soltero","19","2","80","22","22","2","10","0","4"
"18","No","Rara Vez Viaja","Ventas","10","3","Medicina","411","4","Femenino","Ventas Representative","3","Soltero","12","1","80","0","0","2","0","0","0"
"28","No","Rara Vez Viaja","Investigación y Desarrollo","16","2","Medicina","412","2","Masculino","Representante de Salud","1","Soltero","19","3","80","9","8","2","3","0","7"
"31","No","Rara Vez Viaja","Ventas","7","3","Técnico","416","2","Masculino"," Ejecutivo de Ventas","4","Casado","11","2","80","10","8","3","7","7","7"
"39","No","Rara Vez Viaja","Investigación y Desarrollo","1","3","Medicina","417","3","Masculino","Representante de Salud","4","Divorciado","17","1","80","19","18","5","10","3","7"
"36","No","No Viaja","Investigación y Desarrollo","24","4","Ciencias de la Vida","419","2","Femenino","Técnico de laboratorio","2","Casado","15","3","80","11","9","3","8","0","8"
"32","No","Rara Vez Viaja","Ventas","7","3","Ciencias de la Vida","420","4","Masculino"," Ejecutivo de Ventas","3","Casado","14","3","80","13","13","3","8","4","8"
"38","No","Rara Vez Viaja","Investigación y Desarrollo","25","2","Ciencias de la Vida","421","1","Femenino","Director de Investigación","2","Casado","17","3","80","19","10","2","8","0","1"
"58","No","No Viaja","Investigación y Desarrollo","1","4","Ciencias de la Vida","422","4","Masculino","Representante de Salud","3","Divorciado","13","4","80","12","5","2","3","1","2"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","5","4","Técnico","423","3","Masculino"," Investigador Científico","4","Casado","12","3","80","6","5","4","2","0","3"
"31","No","Rara Vez Viaja","Recursos Humanos","2","3","Recursos Humanos","424","1","Masculino","Recursos Humanos","1","Casado","12","4","80","9","2","1","2","1","0"
"45","No","Viaja Frecuentemente","Investigación y Desarrollo","7","3","Ciencias de la Vida","425","1","Masculino","Técnico de laboratorio","1","Divorciado","18","1","80","24","24","2","9","9","11"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","2","4","Ciencias de la Vida","426","3","Masculino"," Investigador Científico","4","Divorciado","18","2","80","3","2","2","2","2","2"
"33","No","Viaja Frecuentemente","Investigación y Desarrollo","5","4","Ciencias de la Vida","428","4","Femenino","Gerente","2","Casado","11","2","80","12","10","2","6","8","8"
"39","No","Rara Vez Viaja","Investigación y Desarrollo","10","1","Medicina","429","3","Masculino","Gerente","1","Casado","14","4","80","21","21","3","9","11","10"
"43","No","Viaja Frecuentemente","Investigación y Desarrollo","10","4","Ciencias de la Vida","430","3","Femenino","Técnico de laboratorio","4","Soltero","19","1","80","9","8","5","7","1","7"
"49","No","Rara Vez Viaja","Investigación y Desarrollo","1","2","Técnico","431","3","Femenino","Representante de Salud","3","Soltero","12","4","80","25","7","2","1","0","7"
"52","Sí","Rara Vez Viaja","Investigación y Desarrollo","8","4","Medicina","433","3","Masculino"," Investigador Científico","2","Casado","15","1","80","11","8","3","2","7","7"
"27","No","Rara Vez Viaja","Investigación y Desarrollo","5","3","Ciencias de la Vida","434","3","Femenino"," Investigador Científico","2","Soltero","12","2","80","4","4","2","3","1","2"
"32","No","Rara Vez Viaja","Ventas","8","2","Técnico","436","3","Femenino"," Ejecutivo de Ventas","2","Casado","11","4","80","13","13","2","12","11","9"
"27","No","Rara Vez Viaja","Ventas","2","3","Ciencias de la Vida","437","4","Masculino"," Ejecutivo de Ventas","3","Soltero","11","1","80","5","5","3","4","0","4"
"31","No","Rara Vez Viaja","Ventas","7","3","Marketing","438","4","Masculino"," Ejecutivo de Ventas","4","Divorciado","12","4","80","13","7","3","7","1","7"
"32","No","Rara Vez Viaja","Investigación y Desarrollo","2","4","Medicina","439","1","Femenino"," Investigador Científico","4","Soltero","16","3","80","10","7","0","7","0","7"
"28","Sí","Rara Vez Viaja","Investigación y Desarrollo","2","4","Medicina","440","1","Masculino"," Investigador Científico","4","Casado","13","4","80","5","3","4","2","2","2"
"30","No","Rara Vez Viaja","Investigación y Desarrollo","28","2","Medicina","441","4","Femenino"," Investigador Científico","4","Casado","13","4","80","11","10","2","8","1","9"
"31","No","Viaja Frecuentemente","Investigación y Desarrollo","7","2","Ciencias de la Vida","442","3","Femenino"," Director de Manufactura","3","Casado","24","1","80","10","10","2","9","8","9"
"39","No","Viaja Frecuentemente","Investigación y Desarrollo","7","2","Medicina","444","3","Masculino","Gerente","4","Casado","15","1","80","21","21","2","9","13","3"
"39","Sí","Rara Vez Viaja","Ventas","3","2","Medicina","445","4","Femenino"," Ejecutivo de Ventas","3","Casado","18","1","80","12","1","3","0","0","0"
"33","No","Viaja Frecuentemente","Ventas","10","3","Marketing","446","2","Masculino"," Ejecutivo de Ventas","4","Soltero","14","3","80","9","7","6","7","0","1"
"47","No","Rara Vez Viaja","Investigación y Desarrollo","5","5","Ciencias de la Vida","447","4","Masculino","Director de Investigación","3","Casado","11","2","80","21","3","2","2","1","1"
"43","No","Viaja Frecuentemente","Investigación y Desarrollo","10","4","Ciencias de la Vida","448","3","Femenino","Técnico de laboratorio","3","Divorciado","11","2","80","9","9","3","7","0","0"
"27","No","No Viaja","Ventas","1","1","Marketing","449","3","Masculino"," Ejecutivo de Ventas","2","Casado","13","4","80","6","5","0","4","1","4"
"54","No","Viaja Frecuentemente","Investigación y Desarrollo","20","4","Ciencias de la Vida","450","4","Femenino"," Investigador Científico","3","Soltero","12","4","80","20","4","4","3","0","3"
"43","No","Rara Vez Viaja","Investigación y Desarrollo","7","3","Ciencias de la Vida","451","3","Femenino","Representante de Salud","1","Casado","16","1","80","10","1","1","0","0","0"
"45","No","Rara Vez Viaja","Investigación y Desarrollo","8","4","Otro","452","4","Masculino"," Investigador Científico","4","Casado","14","1","80","12","10","3","9","9","8"
"40","No","Rara Vez Viaja","Ventas","1","2","Medicina","453","2","Masculino"," Ejecutivo de Ventas","4","Casado","22","3","80","6","4","2","3","0","2"
"29","Sí","Rara Vez Viaja","Investigación y Desarrollo","8","4","Otro","454","2","Masculino","Técnico de laboratorio","1","Casado","11","4","80","7","7","4","7","0","7"
"29","No","Rara Vez Viaja","Investigación y Desarrollo","9","5","Otro","455","2","Masculino","Técnico de laboratorio","4","Soltero","17","3","80","4","3","2","2","2","2"
"30","No","Rara Vez Viaja","Ventas","5","3","Marketing","456","4","Femenino"," Ejecutivo de Ventas","3","Divorciado","13","3","80","10","10","2","9","1","2"
"27","No","Rara Vez Viaja","Ventas","8","4","Marketing","458","2","Femenino"," Ejecutivo de Ventas","2","Casado","18","1","80","8","8","3","7","0","7"
"37","No","Rara Vez Viaja","Investigación y Desarrollo","5","2","Medicina","460","4","Masculino"," Director de Manufactura","4","Divorciado","16","3","80","8","6","2","2","0","4"
"38","No","Rara Vez Viaja","Investigación y Desarrollo","15","2","Ciencias de la Vida","461","3","Masculino","Director de Investigación","4","Divorciado","14","2","80","12","11","3","10","2","9"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","7","4","Medicina","462","3","Femenino"," Director de Manufactura","4","Soltero","14","3","80","11","11","2","9","4","10"
"29","No","Rara Vez Viaja","Ventas","10","1","Marketing","463","4","Femenino"," Ejecutivo de Ventas","2","Divorciado","14","1","80","7","7","2","7","1","7"
"35","No","Rara Vez Viaja","Investigación y Desarrollo","5","4","Técnico","464","3","Masculino"," Director de Manufactura","2","Soltero","13","4","80","17","16","5","6","0","13"
"23","No","Rara Vez Viaja","Investigación y Desarrollo","26","1","Ciencias de la Vida","465","3","Masculino"," Investigador Científico","4","Divorciado","12","3","80","4","4","2","2","0","2"
"41","No","Rara Vez Viaja","Investigación y Desarrollo","6","3","Medicina","466","4","Masculino"," Director de Manufactura","2","Soltero","15","4","80","8","5","3","4","1","2"
"47","No","Viaja Frecuentemente","Ventas","4","1","Medicina","467","2","Masculino","Ventas Representative","3","Soltero","19","1","80","5","0","3","0","0","0"
"42","No","Rara Vez Viaja","Investigación y Desarrollo","23","5","Ciencias de la Vida","468","1","Femenino","Director de Investigación","4","Soltero","14","2","80","16","1","2","0","0","0"
"29","No","No Viaja","Ventas","2","3","Ciencias de la Vida","469","4","Masculino"," Ejecutivo de Ventas","3","Casado","14","1","80","4","4","3","3","0","2"
"42","No","Rara Vez Viaja","Recursos Humanos","2","1","Técnico","470","3","Masculino","Recursos Humanos","3","Divorciado","11","3","80","4","3","5","2","1","0"
"32","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Medicina","471","3","Femenino","Técnico de laboratorio","2","Casado","13","3","80","8","8","4","0","0","7"
"48","No","Rara Vez Viaja","Ventas","29","1","Medicina","473","1","Femenino","Gerente","3","Casado","21","2","80","15","0","3","0","0","0"
"37","No","Rara Vez Viaja","Investigación y Desarrollo","6","3","Medicina","474","3","Masculino"," Investigador Científico","1","Divorciado","13","1","80","13","7","2","7","6","7"
"30","No","No Viaja","Ventas","25","2","Técnico","475","4","Femenino"," Ejecutivo de Ventas","3","Casado","12","2","80","4","2","2","2","2","2"
"26","No","Rara Vez Viaja","Ventas","1","3","Ciencias de la Vida","476","3","Masculino"," Ejecutivo de Ventas","3","Casado","17","2","80","8","8","3","7","7","7"
"42","No","Rara Vez Viaja","Investigación y Desarrollo","2","4","Otro","477","1","Masculino","Representante de Salud","4","Soltero","23","2","80","14","1","6","0","0","0"
"21","Sí","Viaja Frecuentemente","Ventas","1","1","Técnico","478","1","Femenino","Ventas Representative","2","Soltero","11","3","80","3","3","3","2","1","2"
"36","No","No Viaja","Ventas","1","5","Medicina","479","4","Femenino"," Ejecutivo de Ventas","4","Soltero","15","2","80","7","1","6","0","0","0"
"36","No","Viaja Frecuentemente","Ventas","3","4","Medicina","481","1","Masculino"," Ejecutivo de Ventas","4","Casado","11","1","80","16","13","2","9","1","12"
"57","No","Rara Vez Viaja","Investigación y Desarrollo","1","4","Medicina","482","4","Masculino","Representante de Salud","3","Casado","11","3","80","15","3","2","2","1","2"
"40","No","Rara Vez Viaja","Investigación y Desarrollo","10","4","Ciencias de la Vida","483","4","Femenino","Técnico de laboratorio","3","Casado","13","3","80","10","7","3","7","1","7"
"21","No","No Viaja","Ventas","9","2","Medicina","484","1","Masculino","Ventas Representative","4","Soltero","24","3","80","3","3","3","2","2","2"
"33","Sí","Rara Vez Viaja","Ventas","5","3","Marketing","485","4","Femenino","Ventas Representative","3","Soltero","13","2","80","1","1","2","0","0","0"
"37","No","Rara Vez Viaja","Investigación y Desarrollo","10","3","Medicina","486","3","Femenino","Técnico de laboratorio","1","Casado","20","2","80","17","5","3","4","0","3"
"46","No","No Viaja","Investigación y Desarrollo","7","4","Medicina","487","3","Femenino"," Director de Manufactura","3","Casado","14","3","80","7","1","2","0","0","0"
"41","Sí","Viaja Frecuentemente","Ventas","4","3","Marketing","488","1","Masculino"," Ejecutivo de Ventas","2","Soltero","18","3","80","8","8","5","7","7","7"
"50","No","Rara Vez Viaja","Investigación y Desarrollo","10","3","Técnico","491","4","Masculino","Representante de Salud","4","Soltero","15","4","80","20","4","2","3","1","3"
"40","Sí","Rara Vez Viaja","Ventas","22","2","Marketing","492","3","Masculino"," Ejecutivo de Ventas","3","Casado","12","1","80","8","6","6","4","1","0"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","9","4","Ciencias de la Vida","493","3","Masculino"," Investigador Científico","2","Soltero","16","4","80","3","2","5","2","2","2"
"21","Sí","Rara Vez Viaja","Ventas","12","3","Ciencias de la Vida","494","3","Femenino","Ventas Representative","2","Soltero","15","4","80","1","1","0","0","0","0"
"29","No","Rara Vez Viaja","Investigación y Desarrollo","23","3","Ciencias de la Vida","495","4","Masculino"," Investigador Científico","4","Soltero","16","4","80","6","3","4","2","1","2"
"35","No","Rara Vez Viaja","Investigación y Desarrollo","9","4","Ciencias de la Vida","496","3","Masculino","Representante de Salud","2","Soltero","19","3","80","10","1","5","1","0","0"
"27","No","Rara Vez Viaja","Investigación y Desarrollo","1","2","Medicina","497","4","Masculino","Técnico de laboratorio","2","Divorciado","11","2","80","5","5","2","2","0","4"
"28","No","Rara Vez Viaja","Ventas","9","4","Ciencias de la Vida","498","2","Masculino"," Ejecutivo de Ventas","4","Soltero","16","4","80","7","7","1","5","0","7"
"49","No","Rara Vez Viaja","Investigación y Desarrollo","7","3","Otro","499","2","Masculino","Representante de Salud","3","Soltero","24","3","80","26","5","2","2","0","0"
"51","No","Rara Vez Viaja","Ventas","14","2","Ciencias de la Vida","500","3","Femenino"," Ejecutivo de Ventas","4","Casado","11","3","80","18","7","2","7","0","7"
"36","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Ciencias de la Vida","501","4","Femenino"," Investigador Científico","3","Casado","13","2","80","6","2","3","2","2","2"
"34","Sí","No Viaja","Ventas","19","3","Marketing","502","1","Masculino"," Ejecutivo de Ventas","4","Soltero","13","2","80","9","5","3","2","0","4"
"55","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Ciencias de la Vida","505","3","Femenino","Gerente","4","Soltero","13","3","80","30","5","2","4","1","2"
"24","No","Rara Vez Viaja","Ventas","10","4","Marketing","507","4","Femenino"," Ejecutivo de Ventas","3","Divorciado","12","4","80","5","5","2","2","0","3"
"30","No","Rara Vez Viaja","Ventas","2","1","Técnico","508","3","Masculino","Ventas Representative","2","Casado","18","1","80","1","1","3","0","0","0"
"26","Sí","Viaja Frecuentemente","Investigación y Desarrollo","3","1","Técnico","510","3","Masculino"," Investigador Científico","1","Soltero","22","3","80","7","6","2","4","0","4"
"22","No","Rara Vez Viaja","Investigación y Desarrollo","11","3","Medicina","511","1","Femenino"," Investigador Científico","2","Casado","13","4","80","2","2","1","1","1","2"
"36","No","Rara Vez Viaja","Ventas","2","2","Medicina","513","2","Masculino"," Ejecutivo de Ventas","3","Casado","13","2","80","10","10","2","9","9","0"
"30","Sí","Viaja Frecuentemente","Investigación y Desarrollo","4","3","Técnico","514","3","Masculino"," Investigador Científico","4","Soltero","23","3","80","3","1","4","0","0","0"
"37","No","Rara Vez Viaja","Investigación y Desarrollo","14","3","Ciencias de la Vida","515","4","Femenino","Técnico de laboratorio","1","Divorciado","12","3","80","18","18","2","7","12","17"
"40","No","Rara Vez Viaja","Ventas","2","2","Marketing","516","4","Femenino"," Ejecutivo de Ventas","2","Divorciado","12","3","80","8","5","5","4","1","3"
"42","No","Rara Vez Viaja","Investigación y Desarrollo","1","4","Ciencias de la Vida","517","2","Femenino","Técnico de laboratorio","1","Divorciado","16","2","80","8","5","5","2","1","2"
"37","No","Rara Vez Viaja","Investigación y Desarrollo","10","4","Ciencias de la Vida","518","3","Masculino"," Director de Manufactura","2","Soltero","12","4","80","18","1","2","0","0","1"
"43","No","Rara Vez Viaja","Investigación y Desarrollo","12","3","Ciencias de la Vida","520","1","Masculino","Director de Investigación","2","Divorciado","11","3","80","25","25","3","10","3","9"
"40","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Medicina","521","2","Femenino","Técnico de laboratorio","3","Casado","22","2","80","20","1","3","0","0","0"
"54","No","Rara Vez Viaja","Investigación y Desarrollo","5","2","Medicina","522","1","Masculino","Director de Investigación","1","Casado","11","3","80","24","4","4","2","1","2"
"34","No","No Viaja","Ventas","4","4","Marketing","523","3","Femenino"," Ejecutivo de Ventas","3","Casado","15","1","80","6","3","3","2","1","2"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","7","2","Medicina","524","2","Femenino"," Director de Manufactura","1","Casado","12","2","80","13","13","5","10","3","12"
"43","No","Viaja Frecuentemente","Investigación y Desarrollo","21","3","Medicina","525","4","Masculino","Técnico de laboratorio","4","Casado","20","1","80","8","3","1","2","1","2"
"43","No","Rara Vez Viaja","Investigación y Desarrollo","8","4","Otro","526","3","Femenino","Representante de Salud","3","Divorciado","14","4","80","8","5","3","2","0","2"
"25","No","Rara Vez Viaja","Ventas","4","2","Ciencias de la Vida","527","2","Femenino"," Ejecutivo de Ventas","4","Soltero","11","2","80","5","5","3","4","1","3"
"37","No","No Viaja","Investigación y Desarrollo","25","5","Medicina","529","2","Femenino"," Investigador Científico","3","Casado","15","1","80","15","13","2","11","10","7"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","1","2","Ciencias de la Vida","530","4","Masculino","Técnico de laboratorio","1","Casado","12","3","80","4","4","3","2","3","2"
"39","No","Viaja Frecuentemente","Investigación y Desarrollo","1","1","Ciencias de la Vida","531","2","Masculino","Gerente","3","Divorciado","14","3","80","21","21","3","8","1","6"
"56","No","Viaja Frecuentemente","Ventas","6","3","Ciencias de la Vida","532","3","Femenino"," Ejecutivo de Ventas","1","Casado","11","4","80","36","7","0","7","7","7"
"30","No","Rara Vez Viaja","Ventas","12","3","Técnico","533","2","Femenino"," Ejecutivo de Ventas","3","Soltero","11","2","80","6","5","6","4","4","4"
"41","No","Rara Vez Viaja","Ventas","1","3","Marketing","534","2","Masculino"," Ejecutivo de Ventas","1","Casado","16","3","80","10","10","2","7","0","7"
"28","No","Rara Vez Viaja","Investigación y Desarrollo","17","2","Medicina","536","3","Masculino","Técnico de laboratorio","1","Divorciado","12","4","80","10","10","2","0","1","8"
"25","Sí","Rara Vez Viaja","Investigación y Desarrollo","3","3","Medicina","538","1","Masculino","Técnico de laboratorio","1","Casado","13","3","80","6","2","5","2","0","2"
"52","No","Rara Vez Viaja","Investigación y Desarrollo","3","3","Medicina","543","4","Masculino"," Director de Manufactura","3","Casado","14","3","80","28","5","4","4","0","4"
"45","No","Rara Vez Viaja","Investigación y Desarrollo","10","2","Ciencias de la Vida","544","1","Masculino"," Investigador Científico","4","Casado","21","4","80","8","2","3","2","0","2"
"52","No","Rara Vez Viaja","Investigación y Desarrollo","4","2","Ciencias de la Vida","546","4","Femenino","Gerente","4","Casado","13","4","80","31","5","2","2","1","4"
"42","No","Viaja Frecuentemente","Investigación y Desarrollo","29","2","Ciencias de la Vida","547","1","Femenino"," Investigador Científico","3","Divorciado","11","2","80","19","5","3","4","0","2"
"30","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Ciencias de la Vida","548","3","Femenino"," Director de Manufactura","4","Soltero","20","3","80","11","5","2","4","0","2"
"60","No","Rara Vez Viaja","Investigación y Desarrollo","7","3","Ciencias de la Vida","549","1","Femenino","Gerente","1","Casado","11","4","80","33","29","5","8","11","10"
"46","No","Rara Vez Viaja","Investigación y Desarrollo","18","3","Medicina","550","3","Femenino"," Director de Manufactura","3","Divorciado","14","3","80","19","10","5","7","0","8"
"42","No","Viaja Frecuentemente","Investigación y Desarrollo","28","4","Técnico","551","4","Femenino","Representante de Salud","4","Casado","11","4","80","7","6","4","5","0","4"
"24","Sí","Rara Vez Viaja","Ventas","1","1","Técnico","554","1","Femenino","Ventas Representative","2","Soltero","16","2","80","6","5","4","3","1","4"
"34","Sí","Viaja Frecuentemente","Ventas","6","2","Marketing","555","4","Femenino","Ventas Representative","3","Divorciado","16","4","80","3","2","3","2","1","0"
"38","No","Viaja Frecuentemente","Investigación y Desarrollo","2","2","Ciencias de la Vida","556","4","Masculino","Técnico de laboratorio","4","Casado","23","3","80","1","1","3","0","0","0"
"40","No","Rara Vez Viaja","Ventas","2","4","Ciencias de la Vida","558","3","Femenino","Gerente","3","Casado","14","4","80","21","20","2","15","1","12"
"26","No","Rara Vez Viaja","Investigación y Desarrollo","23","3","Ciencias de la Vida","560","1","Femenino"," Investigador Científico","4","Divorciado","22","2","80","3","3","3","2","0","2"
"30","No","No Viaja","Investigación y Desarrollo","3","3","Ciencias de la Vida","562","3","Masculino","Técnico de laboratorio","4","Casado","15","3","80","9","5","3","3","1","4"
"29","No","Rara Vez Viaja","Investigación y Desarrollo","3","4","Medicina","564","2","Masculino","Director de Investigación","3","Casado","18","3","80","10","10","2","2","0","7"
"29","Sí","Rara Vez Viaja","Investigación y Desarrollo","25","5","Técnico","565","3","Femenino"," Investigador Científico","2","Casado","16","2","80","6","2","2","2","1","1"
"19","Sí","Rara Vez Viaja","Recursos Humanos","2","2","Técnico","566","1","Masculino","Recursos Humanos","4","Soltero","12","3","80","1","1","3","0","0","0"
"30","No","No Viaja","Ventas","22","4","Otro","567","3","Femenino"," Ejecutivo de Ventas","1","Casado","11","3","80","10","9","3","8","7","8"
"57","No","Rara Vez Viaja","Ventas","29","3","Marketing","568","1","Masculino","Gerente","4","Divorciado","12","3","80","32","1","3","0","0","0"
